City,Temperature,timestamp
New York,24.9,2026-03-12T00:27:26.991775
Tokyo,26.3,2025-07-16T00:27:26.991797
London,14.5,2025-06-03T00:27:26.991800
Sydney,30.9,2025-12-22T00:27:26.991803
Tokyo,12.6,2025-10-18T00:27:26.991805
Paris,12.7,2025-04-11T00:27:26.991807
Tokyo,21.7,2025-06-29T00:27:26.991809
Sydney,32.6,2025-04-04T00:27:26.991811
New York,21.4,2025-07-11T00:27:26.991813
Paris,30.4,2025-05-07T00:27:26.991815
Sydney,10.6,2025-06-09T00:27:26.991817
Paris,33.6,2025-04-29T00:27:26.991819
London,26.6,2025-05-04T00:27:26.991821
London,27.9,2026-03-13T00:27:26.991823
New York,26.8,2025-09-21T00:27:26.991825
Paris,21.7,2026-02-09T00:27:26.991827
Paris,12.7,2025-09-23T00:27:26.991829
New York,15.4,2025-08-22T00:27:26.991831
London,14.2,2025-07-09T00:27:26.991833
Sydney,29.0,2025-06-09T00:27:26.991835
Paris,33.5,2026-01-06T00:27:26.991837
Sydney,26.1,2025-03-25T00:27:26.991838
New York,29.3,2026-01-28T00:27:26.991840
Paris,12.4,2025-10-13T00:27:26.991842
Tokyo,22.0,2026-02-24T00:27:26.991844
New York,19.9,2025-09-10T00:27:26.991846
Sydney,15.3,2025-05-25T00:27:26.991848
New York,20.5,2025-04-17T00:27:26.991850
Paris,13.5,2025-08-04T00:27:26.991852
New York,21.8,2025-05-29T00:27:26.991854
Sydney,18.6,2026-02-10T00:27:26.991856
Paris,16.2,2026-03-10T00:27:26.991858
London,18.9,2025-04-20T00:27:26.991860
London,33.9,2025-04-15T00:27:26.991862
Sydney,26.2,2025-10-21T00:27:26.991864
Tokyo,14.5,2025-11-15T00:27:26.991865
Tokyo,22.4,2025-08-01T00:27:26.991867
New York,25.3,2025-10-11T00:27:26.991869
Tokyo,20.8,2025-11-06T00:27:26.991871
New York,31.5,2026-01-16T00:27:26.991873
Sydney,19.9,2026-01-21T00:27:26.991875
Paris,26.3,2025-03-21T00:27:26.991877
New York,34.9,2025-11-26T00:27:26.991879
Tokyo,11.2,2025-10-03T00:27:26.991881
Tokyo,29.9,2025-04-21T00:27:26.991883
London,10.2,2025-10-28T00:27:26.991885
New York,14.7,2025-06-29T00:27:26.991887
Sydney,33.4,2025-11-16T00:27:26.991888
Paris,14.8,2025-10-04T00:27:26.991890
Paris,12.1,2026-01-07T00:27:26.991892
Paris,17.1,2025-11-27T00:27:26.991894
Paris,11.0,2025-04-10T00:27:26.991896
Tokyo,20.9,2026-01-08T00:27:26.991898
Tokyo,13.1,2025-07-31T00:27:26.991900
Tokyo,22.6,2025-06-27T00:27:26.991902
New York,33.5,2026-03-17T00:27:26.991904
Sydney,20.5,2025-06-01T00:27:26.991906
Sydney,29.1,2025-12-13T00:27:26.991908
Sydney,31.8,2025-05-29T00:27:26.991909
Sydney,16.7,2025-08-03T00:27:26.991911
New York,21.3,2026-01-10T00:27:26.991913
New York,30.2,2025-10-06T00:27:26.991915
Paris,10.6,2025-06-01T00:27:26.991917
Paris,29.9,2026-01-25T00:27:26.991919
Paris,17.1,2025-11-10T00:27:26.991921
London,10.9,2025-05-12T00:27:26.991923
Tokyo,15.4,2025-12-01T00:27:26.991925
New York,24.6,2026-01-12T00:27:26.991927
Sydney,29.7,2025-07-18T00:27:26.991929
Sydney,11.6,2025-05-06T00:27:26.991931
London,20.1,2025-08-05T00:27:26.991932
Paris,26.7,2025-12-31T00:27:26.991934
New York,33.5,2025-03-29T00:27:26.991936
Tokyo,15.0,2025-06-05T00:27:26.991938
London,28.7,2025-09-14T00:27:26.991940
Paris,12.1,2025-04-07T00:27:26.991942
Paris,14.5,2025-10-17T00:27:26.991944
New York,15.9,2025-12-28T00:27:26.991946
London,29.8,2025-12-14T00:27:26.991947
Tokyo,25.5,2025-12-05T00:27:26.991949
New York,18.7,2025-04-07T00:27:26.991951
Paris,21.6,2025-05-06T00:27:26.991953
Paris,25.0,2025-07-11T00:27:26.991955
Sydney,19.3,2026-03-12T00:27:26.991957
Paris,28.7,2025-04-06T00:27:26.991959
Sydney,16.7,2025-05-04T00:27:26.991960
Tokyo,19.9,2025-06-15T00:27:26.991962
New York,17.7,2025-11-27T00:27:26.991964
New York,21.1,2025-11-07T00:27:26.991966
Sydney,28.2,2025-10-30T00:27:26.991968
London,15.1,2026-01-05T00:27:26.991971
Paris,19.2,2025-06-22T00:27:26.991973
Sydney,23.2,2026-02-14T00:27:26.991976
Sydney,21.1,2025-11-11T00:27:26.991978
Paris,24.7,2025-06-30T00:27:26.991980
London,33.7,2025-11-13T00:27:26.991982
London,12.8,2025-08-23T00:27:26.991984
Paris,28.5,2026-01-01T00:27:26.991986
Sydney,19.8,2026-01-19T00:27:26.991988
Paris,14.4,2026-03-13T00:27:26.991990
Sydney,21.3,2026-01-11T00:27:26.991992
Tokyo,21.8,2026-02-28T00:27:26.991994
Tokyo,21.1,2025-07-29T00:27:26.991995
Paris,19.3,2025-04-19T00:27:26.991997
Sydney,12.7,2025-10-31T00:27:26.991999
London,25.5,2025-07-25T00:27:26.992001
London,31.6,2025-12-25T00:27:26.992003
Tokyo,10.8,2025-08-13T00:27:26.992005
Sydney,33.3,2025-12-10T00:27:26.992007
Sydney,32.0,2025-04-02T00:27:26.992009
New York,18.4,2026-02-26T00:27:26.992011
Paris,31.0,2025-05-08T00:27:26.992013
New York,30.6,2025-11-13T00:27:26.992015
Paris,32.6,2025-05-21T00:27:26.992016
Paris,13.7,2025-09-28T00:27:26.992018
Tokyo,29.7,2025-07-29T00:27:26.992020
New York,17.9,2025-05-13T00:27:26.992022
London,25.4,2025-06-16T00:27:26.992024
New York,19.9,2025-10-26T00:27:26.992026
New York,16.5,2025-07-09T00:27:26.992028
Sydney,27.8,2026-01-05T00:27:26.992030
Sydney,22.3,2025-09-10T00:27:26.992032
Paris,34.0,2025-06-11T00:27:26.992033
Sydney,33.9,2025-04-24T00:27:26.992035
Tokyo,34.2,2025-08-02T00:27:26.992037
New York,13.5,2025-05-07T00:27:26.992039
Sydney,34.0,2026-02-23T00:27:26.992041
Sydney,28.3,2026-02-08T00:27:26.992043
Paris,29.8,2025-11-20T00:27:26.992045
New York,13.9,2025-08-12T00:27:26.992047
New York,23.0,2025-06-19T00:27:26.992049
London,31.1,2025-12-13T00:27:26.992051
New York,21.6,2025-12-17T00:27:26.992053
London,18.9,2025-03-21T00:27:26.992054
London,26.4,2025-03-22T00:27:26.992056
Paris,14.0,2025-10-04T00:27:26.992060
London,14.6,2025-09-15T00:27:26.992062
Sydney,15.4,2025-10-08T00:27:26.992064
London,30.9,2026-02-25T00:27:26.992066
London,26.9,2025-03-23T00:27:26.992067
Paris,24.4,2026-01-16T00:27:26.992069
Paris,13.7,2025-09-18T00:27:26.992071
Tokyo,33.6,2025-03-20T00:27:26.992073
Paris,19.5,2025-12-22T00:27:26.992075
Tokyo,33.8,2025-11-06T00:27:26.992077
Sydney,25.2,2025-04-09T00:27:26.992078
Paris,26.3,2026-03-01T00:27:26.992080
London,30.8,2026-02-17T00:27:26.992082
Sydney,18.4,2025-06-04T00:27:26.992084
Tokyo,26.0,2025-06-13T00:27:26.992086
Tokyo,23.0,2026-02-12T00:27:26.992088
London,11.3,2025-09-19T00:27:26.992090
London,15.5,2025-08-09T00:27:26.992092
Tokyo,33.1,2025-07-17T00:27:26.992094
Sydney,22.2,2025-03-21T00:27:26.992096
London,22.2,2025-07-28T00:27:26.992097
Tokyo,20.8,2025-08-25T00:27:26.992099
Sydney,32.6,2026-02-25T00:27:26.992101
London,29.7,2025-05-27T00:27:26.992103
Sydney,23.0,2025-10-22T00:27:26.992105
New York,28.3,2025-08-20T00:27:26.992107
Tokyo,28.1,2025-08-25T00:27:26.992109
London,19.7,2025-07-28T00:27:26.992111
London,12.6,2025-12-02T00:27:26.992113
London,19.8,2025-03-23T00:27:26.992114
New York,23.6,2025-10-28T00:27:26.992116
Sydney,12.6,2026-02-26T00:27:26.992118
Tokyo,24.1,2025-09-17T00:27:26.992120
Paris,19.4,2025-12-20T00:27:26.992122
New York,17.1,2025-10-08T00:27:26.992124
London,27.1,2025-11-06T00:27:26.992126
Paris,25.5,2025-10-13T00:27:26.992128
New York,21.5,2025-10-22T00:27:26.992129
Paris,29.5,2025-09-30T00:27:26.992131
Sydney,26.5,2026-02-27T00:27:26.992133
London,32.8,2025-08-09T00:27:26.992135
Sydney,19.1,2025-08-13T00:27:26.992137
Paris,29.0,2025-09-11T00:27:26.992139
New York,27.8,2025-05-05T00:27:26.992141
Paris,15.0,2025-08-13T00:27:26.992142
New York,29.6,2025-10-24T00:27:26.992144
New York,28.7,2025-06-03T00:27:26.992146
Paris,23.2,2026-03-14T00:27:26.992148
Sydney,11.3,2025-08-06T00:27:26.992150
London,13.9,2026-03-01T00:27:26.992152
Paris,34.6,2026-02-28T00:27:26.992154
Sydney,30.2,2026-03-18T00:27:26.992156
New York,21.5,2026-02-10T00:27:26.992158
Tokyo,17.7,2025-08-13T00:27:26.992160
Tokyo,20.6,2025-07-16T00:27:26.992162
New York,22.6,2026-01-30T00:27:26.992163
London,25.7,2026-03-16T00:27:26.992165
Paris,31.5,2026-01-16T00:27:26.992167
London,12.9,2026-02-14T00:27:26.992169
Paris,34.4,2025-10-09T00:27:26.992171
Sydney,30.9,2025-04-07T00:27:26.992173
London,21.2,2025-09-28T00:27:26.992175
Paris,17.7,2025-10-20T00:27:26.992177
Tokyo,14.9,2025-03-21T00:27:26.992179
Paris,15.4,2025-08-13T00:27:26.992181
Tokyo,33.9,2025-08-26T00:27:26.992184
New York,32.5,2025-08-23T00:27:26.992186
New York,21.1,2025-06-16T00:27:26.992188
New York,13.1,2026-03-11T00:27:26.992190
Paris,30.2,2026-02-28T00:27:26.992192
Paris,16.4,2025-09-14T00:27:26.992277
London,29.1,2025-08-24T00:27:26.992280
New York,30.7,2026-01-11T00:27:26.992282
Sydney,14.4,2025-07-23T00:27:26.992284
Tokyo,17.0,2025-09-18T00:27:26.992286
Sydney,34.3,2026-01-25T00:27:26.992288
Paris,30.6,2025-06-06T00:27:26.992290
Tokyo,24.1,2025-04-10T00:27:26.992292
London,34.0,2026-01-23T00:27:26.992294
Sydney,32.1,2025-10-12T00:27:26.992296
Sydney,23.3,2026-01-02T00:27:26.992298
Paris,14.4,2026-03-02T00:27:26.992300
London,16.8,2025-09-18T00:27:26.992301
New York,10.8,2025-11-14T00:27:26.992303
Sydney,10.9,2025-04-08T00:27:26.992305
Sydney,21.5,2025-07-03T00:27:26.992307
Paris,13.2,2025-03-20T00:27:26.992309
London,18.1,2025-05-31T00:27:26.992311
Paris,32.4,2026-03-07T00:27:26.992313
New York,32.3,2025-06-24T00:27:26.992314
New York,20.7,2026-02-06T00:27:26.992316
Paris,23.7,2025-04-12T00:27:26.992318
London,21.6,2025-04-26T00:27:26.992320
London,31.5,2025-12-25T00:27:26.992322
London,32.8,2026-02-23T00:27:26.992324
London,12.7,2025-10-03T00:27:26.992326
Tokyo,14.1,2025-11-07T00:27:26.992328
Tokyo,33.6,2025-06-06T00:27:26.992329
London,23.7,2026-01-08T00:27:26.992331
Paris,29.3,2026-03-10T00:27:26.992333
Tokyo,26.3,2025-09-17T00:27:26.992335
Sydney,16.4,2026-02-26T00:27:26.992337
Paris,24.9,2026-02-03T00:27:26.992339
Tokyo,10.3,2025-09-26T00:27:26.992341
Sydney,15.2,2025-04-16T00:27:26.992342
Sydney,22.0,2026-01-19T00:27:26.992344
New York,12.3,2025-11-18T00:27:26.992346
New York,14.7,2025-08-05T00:27:26.992348
New York,27.7,2026-01-03T00:27:26.992350
Paris,20.2,2026-02-07T00:27:26.992352
Paris,22.7,2025-09-08T00:27:26.992354
Paris,13.1,2026-03-16T00:27:26.992355
New York,26.1,2025-06-22T00:27:26.992357
Sydney,16.0,2025-03-23T00:27:26.992359
Paris,15.7,2025-12-31T00:27:26.992361
London,22.8,2025-07-09T00:27:26.992363
New York,20.6,2025-08-04T00:27:26.992365
Paris,26.4,2025-08-07T00:27:26.992366
Paris,22.4,2025-06-07T00:27:26.992369
Sydney,23.8,2025-09-13T00:27:26.992371
Tokyo,25.2,2025-03-27T00:27:26.992372
Sydney,20.0,2025-12-26T00:27:26.992374
Sydney,16.3,2025-08-19T00:27:26.992376
London,29.2,2026-01-27T00:27:26.992378
Sydney,12.7,2025-08-10T00:27:26.992380
Paris,12.8,2025-07-01T00:27:26.992382
Paris,10.0,2025-12-02T00:27:26.992384
Tokyo,15.7,2026-02-12T00:27:26.992386
London,29.9,2025-07-25T00:27:26.992388
London,34.6,2026-02-01T00:27:26.992389
Tokyo,31.7,2025-08-22T00:27:26.992391
Paris,23.8,2025-05-15T00:27:26.992393
New York,27.2,2025-06-24T00:27:26.992395
Tokyo,13.9,2026-03-18T00:27:26.992397
Tokyo,33.8,2026-02-09T00:27:26.992399
Paris,26.2,2025-11-06T00:27:26.992401
New York,25.5,2025-08-31T00:27:26.992403
Tokyo,17.4,2026-02-22T00:27:26.992405
Paris,19.0,2025-03-23T00:27:26.992407
Sydney,15.7,2025-08-27T00:27:26.992409
Sydney,10.0,2026-01-16T00:27:26.992410
New York,17.0,2025-04-28T00:27:26.992412
London,14.1,2025-11-30T00:27:26.992414
Sydney,15.8,2025-06-21T00:27:26.992416
London,14.0,2026-03-08T00:27:26.992418
New York,11.6,2026-02-04T00:27:26.992420
Paris,15.1,2025-10-21T00:27:26.992422
Tokyo,32.7,2025-04-21T00:27:26.992424
London,19.2,2025-08-13T00:27:26.992426
New York,34.2,2025-07-05T00:27:26.992428
Tokyo,28.6,2025-11-23T00:27:26.992430
New York,16.6,2025-10-01T00:27:26.992431
Sydney,19.1,2025-10-06T00:27:26.992433
New York,11.2,2025-06-15T00:27:26.992435
London,31.6,2025-08-13T00:27:26.992437
New York,19.2,2025-06-01T00:27:26.992439
Paris,19.2,2025-08-03T00:27:26.992441
Tokyo,10.9,2025-05-15T00:27:26.992443
Tokyo,23.1,2025-06-22T00:27:26.992444
Sydney,21.5,2025-07-12T00:27:26.992446
Sydney,14.4,2025-09-07T00:27:26.992448
Tokyo,24.0,2025-12-26T00:27:26.992450
London,13.2,2026-03-04T00:27:26.992452
London,25.6,2026-02-25T00:27:26.992454
London,28.2,2025-11-08T00:27:26.992456
Tokyo,14.7,2025-08-23T00:27:26.992457
Tokyo,27.2,2025-05-09T00:27:26.992459
New York,33.0,2025-07-28T00:27:26.992461
London,34.7,2026-01-20T00:27:26.992463
London,22.0,2025-05-17T00:27:26.992465
Tokyo,32.0,2025-08-15T00:27:26.992467
London,17.8,2025-10-31T00:27:26.992468
Sydney,17.0,2025-03-26T00:27:26.992470
Paris,27.1,2026-02-03T00:27:26.992472
New York,27.3,2025-07-20T00:27:26.992474
London,14.4,2025-12-01T00:27:26.992476
New York,10.1,2025-05-13T00:27:26.992478
New York,22.9,2025-12-23T00:27:26.992480
New York,27.0,2026-01-04T00:27:26.992482
Paris,17.5,2025-09-29T00:27:26.992483
London,23.5,2025-04-04T00:27:26.992485
Tokyo,26.3,2026-01-20T00:27:26.992487
New York,29.7,2025-06-15T00:27:26.992489
Tokyo,31.0,2025-05-17T00:27:26.992491
Paris,34.8,2026-02-20T00:27:26.992493
New York,33.9,2026-01-07T00:27:26.992495
Sydney,22.1,2026-03-04T00:27:26.992497
London,18.9,2025-09-15T00:27:26.992498
Paris,19.6,2025-09-12T00:27:26.992500
Sydney,25.7,2025-09-19T00:27:26.992502
New York,21.7,2025-08-11T00:27:26.992504
Tokyo,28.7,2025-08-13T00:27:26.992506
Tokyo,23.8,2026-01-08T00:27:26.992508
Sydney,17.6,2025-11-24T00:27:26.992510
Tokyo,22.0,2026-03-04T00:27:26.992512
Sydney,34.7,2025-11-24T00:27:26.992513
London,29.6,2025-06-11T00:27:26.992515
New York,34.1,2025-10-09T00:27:26.992517
Sydney,29.8,2025-05-08T00:27:26.992519
Tokyo,23.1,2025-05-01T00:27:26.992521
London,24.6,2026-01-27T00:27:26.992523
Paris,14.0,2025-04-05T00:27:26.992524
London,22.0,2026-02-13T00:27:26.992526
Tokyo,21.9,2025-06-19T00:27:26.992528
Tokyo,10.4,2025-07-30T00:27:26.992530
Sydney,27.7,2025-12-16T00:27:26.992532
London,27.3,2025-03-20T00:27:26.992534
Sydney,32.0,2025-04-23T00:27:26.992536
Paris,19.1,2025-08-28T00:27:26.992538
Sydney,30.1,2025-12-17T00:27:26.992539
Paris,32.7,2025-06-16T00:27:26.992541
Sydney,27.1,2025-06-23T00:27:26.992543
Sydney,20.7,2025-05-07T00:27:26.992545
New York,19.3,2026-02-21T00:27:26.992547
London,27.8,2025-10-23T00:27:26.992549
Tokyo,20.8,2025-08-07T00:27:26.992551
Tokyo,28.9,2025-11-28T00:27:26.992552
Sydney,28.9,2025-03-20T00:27:26.992554
Tokyo,34.3,2025-11-14T00:27:26.992556
London,34.9,2025-06-21T00:27:26.992558
Paris,18.0,2026-02-04T00:27:26.992560
Paris,25.1,2025-05-06T00:27:26.992561
Tokyo,18.4,2025-04-03T00:27:26.992563
Tokyo,23.4,2025-10-01T00:27:26.992565
New York,11.1,2025-03-26T00:27:26.992567
Sydney,11.9,2025-06-07T00:27:26.992569
Sydney,26.6,2026-02-07T00:27:26.992571
Tokyo,18.6,2025-10-02T00:27:26.992573
New York,11.5,2025-07-11T00:27:26.992590
Paris,27.2,2025-12-09T00:27:26.992602
Tokyo,25.4,2025-08-23T00:27:26.992606
New York,11.4,2025-03-30T00:27:26.992608
Tokyo,12.7,2026-01-05T00:27:26.992611
Paris,30.7,2025-08-18T00:27:26.992613
New York,13.3,2025-12-05T00:27:26.992615
Paris,28.9,2025-08-11T00:27:26.992617
Tokyo,16.7,2026-02-19T00:27:26.992619
Sydney,15.0,2025-07-30T00:27:26.992621
London,17.3,2026-01-23T00:27:26.992623
Paris,13.6,2025-05-02T00:27:26.992625
Paris,16.3,2025-04-22T00:27:26.992627
London,18.8,2025-09-15T00:27:26.992629
Sydney,20.2,2025-06-05T00:27:26.992631
Paris,12.2,2025-06-28T00:27:26.992633
Paris,11.4,2026-02-14T00:27:26.992635
London,10.9,2025-12-29T00:27:26.992637
Tokyo,14.0,2026-03-10T00:27:26.992639
Tokyo,33.5,2025-09-22T00:27:26.992641
London,25.4,2025-07-06T00:27:26.992643
Tokyo,16.6,2026-02-21T00:27:26.992645
Sydney,26.4,2025-03-27T00:27:26.992647
New York,19.2,2025-09-24T00:27:26.992649
New York,10.9,2025-11-02T00:27:26.992650
Paris,30.5,2025-09-23T00:27:26.992652
London,20.4,2026-03-13T00:27:26.992654
Sydney,29.6,2025-06-07T00:27:26.992656
Sydney,15.9,2025-09-20T00:27:26.992658
Sydney,25.4,2025-05-29T00:27:26.992660
New York,20.5,2025-03-21T00:27:26.992662
Tokyo,18.1,2025-04-19T00:27:26.992664
Sydney,23.4,2025-06-13T00:27:26.992666
Paris,14.1,2025-11-01T00:27:26.992667
London,14.7,2025-12-01T00:27:26.992669
London,19.3,2025-05-22T00:27:26.992671
London,33.8,2025-08-20T00:27:26.992673
Tokyo,14.9,2025-04-07T00:27:26.992675
New York,30.6,2026-03-09T00:27:26.992677
Paris,23.0,2025-07-14T00:27:26.992679
Paris,11.2,2025-11-05T00:27:26.992681
London,20.1,2026-03-14T00:27:26.992683
London,28.6,2025-12-03T00:27:26.992685
Sydney,27.8,2026-02-14T00:27:26.992687
Tokyo,21.6,2025-12-18T00:27:26.992689
Paris,22.7,2025-11-20T00:27:26.992690
Tokyo,11.3,2025-04-05T00:27:26.992692
Tokyo,23.1,2025-07-19T00:27:26.992715
Tokyo,14.0,2026-02-02T00:27:26.992718
London,26.3,2025-04-23T00:27:26.992720
Sydney,28.9,2025-04-15T00:27:26.992722
Sydney,11.1,2025-04-26T00:27:26.992724
Paris,28.5,2025-06-20T00:27:26.992726
New York,23.7,2026-03-12T00:27:26.992728
Paris,31.3,2025-03-29T00:27:26.992730
London,34.2,2025-06-18T00:27:26.992732
Paris,10.0,2025-08-02T00:27:26.992734
Paris,24.5,2025-10-04T00:27:26.992736
Paris,16.2,2026-01-30T00:27:26.992738
New York,17.4,2025-12-30T00:27:26.992740
Sydney,18.6,2026-01-31T00:27:26.992742
New York,21.6,2026-03-02T00:27:26.992743
New York,25.0,2026-02-11T00:27:26.992745
New York,25.7,2025-10-23T00:27:26.992747
New York,17.6,2025-12-10T00:27:26.992749
Tokyo,25.8,2025-11-28T00:27:26.992751
Tokyo,27.7,2026-01-22T00:27:26.992753
New York,18.2,2025-08-12T00:27:26.992755
Sydney,24.1,2025-11-09T00:27:26.992757
New York,22.5,2025-03-22T00:27:26.992758
Paris,27.3,2025-11-10T00:27:26.992760
New York,33.2,2026-01-16T00:27:26.992762
New York,18.1,2025-07-20T00:27:26.992764
Tokyo,31.1,2025-10-02T00:27:26.992766
London,16.0,2025-08-05T00:27:26.992768
New York,14.9,2025-12-19T00:27:26.992770
London,25.2,2025-06-24T00:27:26.992772
New York,17.9,2025-04-10T00:27:26.992773
Tokyo,31.6,2025-11-23T00:27:26.992775
Tokyo,10.6,2025-11-30T00:27:26.992785
Tokyo,27.5,2025-06-12T00:27:26.992795
Sydney,12.9,2026-02-01T00:27:26.992799
New York,27.0,2025-07-08T00:27:26.992802
New York,19.7,2026-02-02T00:27:26.992804
Sydney,26.0,2026-01-14T00:27:26.992806
London,20.6,2025-11-11T00:27:26.992808
Paris,17.9,2025-06-23T00:27:26.992810
London,21.7,2025-08-27T00:27:26.992813
London,32.6,2026-01-05T00:27:26.992814
London,15.7,2025-03-27T00:27:26.992816
London,34.1,2025-08-01T00:27:26.992818
Paris,11.5,2025-06-11T00:27:26.992820
New York,24.7,2025-05-28T00:27:26.992822
Paris,17.3,2026-02-22T00:27:26.992824
New York,20.4,2025-05-13T00:27:26.992826
New York,18.8,2025-09-22T00:27:26.992828
New York,12.2,2025-09-16T00:27:26.992830
Sydney,30.0,2026-02-03T00:27:26.992832
Paris,24.1,2025-09-28T00:27:26.992834
Sydney,18.3,2026-03-08T00:27:26.992836
London,31.7,2026-01-26T00:27:26.992838
Tokyo,33.6,2025-07-08T00:27:26.992840
Tokyo,14.3,2025-06-18T00:27:26.992842
Sydney,30.8,2025-06-05T00:27:26.992844
Sydney,11.5,2025-11-03T00:27:26.992846
Paris,26.3,2025-07-08T00:27:26.992848
Paris,25.3,2026-03-12T00:27:26.992850
Paris,11.2,2025-05-16T00:27:26.992852
Tokyo,25.5,2025-12-31T00:27:26.992853
Sydney,10.8,2025-10-03T00:27:26.992855
Tokyo,30.0,2025-07-06T00:27:26.992857
Tokyo,27.3,2026-01-18T00:27:26.992860
Tokyo,26.8,2025-05-04T00:27:26.992862
Paris,29.7,2025-05-28T00:27:26.992864
London,21.5,2025-07-16T00:27:26.992865
Sydney,25.7,2025-05-04T00:27:26.992867
Sydney,30.7,2025-10-26T00:27:26.992869
New York,30.5,2025-09-27T00:27:26.992871
Tokyo,16.1,2025-08-09T00:27:26.992873
Tokyo,21.9,2026-02-08T00:27:26.992875
London,33.4,2025-12-18T00:27:26.992877
New York,17.5,2025-08-05T00:27:26.992879
Sydney,33.0,2026-03-12T00:27:26.992881
London,27.2,2026-01-26T00:27:26.992883
Paris,28.3,2025-06-07T00:27:26.992885
Sydney,16.4,2026-02-08T00:27:26.992886
Paris,19.5,2025-03-30T00:27:26.992888
Paris,21.6,2025-04-10T00:27:26.992890
Sydney,21.2,2025-06-14T00:27:26.992892
Paris,23.1,2025-11-09T00:27:26.992894
New York,14.8,2025-06-11T00:27:26.992896
London,18.4,2025-09-06T00:27:26.992898
Sydney,11.0,2025-05-08T00:27:26.992900
Tokyo,26.5,2025-12-04T00:27:26.992902
Sydney,17.2,2025-10-25T00:27:26.992904
Sydney,29.3,2025-06-15T00:27:26.992906
